"Date","Live Births","Marriages","Deaths","Stillbirths"
"1994-01-1",11631,2078,8094,75
"1994-02-1",11254,2650,6428,62
"1994-03-1",13003,2557,6503,73
"1994-04-1",12576,3967,6224,74
"1994-05-1",13240,6493,6483,67
"1994-06-1",13072,7754,6187,66
"1994-07-1",13045,9264,6196,70
"1994-08-1",12982,9194,5926,79
"1994-09-1",12416,8540,6062,60
"1994-10-1",11845,7400,6515,59
"1994-11-1",11547,3313,6247,56
"1994-12-1",11495,3464,6931,43
"1995-01-1",11611,2007,6946,78
"1995-02-1",11102,2579,6744,84
"1995-03-1",12967,2737,7278,75
"1995-04-1",12490,3666,6702,87
"1995-05-1",13398,6563,6690,112
"1995-06-1",13143,8073,6179,76
"1995-07-1",13030,8918,6337,60
"1995-08-1",12863,9412,6081,100
"1995-09-1",12450,9983,6060,78
"1995-10-1",12044,6475,6391,89
"1995-11-1",11060,3473,6403,70
"1995-12-1",10848,3635,6918,75
"1996-01-1",11487,1980,7151,94
"1996-02-1",11060,2713,6524,74
"1996-03-1",12189,2522,6933,72
"1996-04-1",12049,3179,6476,77
"1996-05-1",12668,6284,6534,94
"1996-06-1",12137,9238,6079,70
"1996-07-1",12469,7638,6231,73
"1996-08-1",12300,10709,6238,76
"1996-09-1",11898,8640,6039,53
"1996-10-1",11553,6574,6927,64
"1996-11-1",10329,3559,6556,52
"1996-12-1",10752,3135,7593,58
"1997-01-1",10740,1823,8084,102
"1997-02-1",10062,2664,6518,64
"1997-03-1",11552,2367,7001,62
"1997-04-1",11907,3192,6544,84
"1997-05-1",12131,7075,6620,82
"1997-06-1",11459,7843,6349,67
"1997-07-1",11934,7726,6209,75
"1997-08-1",11279,10721,6088,62
"1997-09-1",11036,8076,6086,57
"1997-10-1",11019,6487,6792,68
"1997-11-1",10113,3375,6535,45
"1997-12-1",10471,2892,6937,19
"1998-01-1",10894,1838,7239,66
"1998-02-1",10695,2875,7551,63
"1998-03-1",12095,2193,7745,87
"1998-04-1",12159,2938,6431,78
"1998-05-1",12515,6692,6516,85
"1998-06-1",11817,7736,6185,61
"1998-07-1",12332,8065,6141,70
"1998-08-1",11700,10801,6197,54
"1998-09-1",11920,8197,6064,68
"1998-10-1",11230,7105,6588,80
"1998-11-1",10211,3125,6744,74
"1998-12-1",10663,2990,6986,68
"1999-01-1",10706,1991,7794,69
"1999-02-1",10299,2364,7087,76
"1999-03-1",11711,2374,7695,75
"1999-04-1",11261,3107,6457,58
"1999-05-1",11922,6774,6617,72
"1999-06-1",12039,7488,6087,75
"1999-07-1",12261,9519,6296,64
"1999-08-1",11621,9959,6289,61
"1999-09-1",11754,8589,6224,77
"1999-10-1",10984,7757,6666,77
"1999-11-1",10248,3270,6585,63
"1999-12-1",10719,2943,7786,77
"2000-01-1",10999,1912,8537,85
"2000-02-1",10629,2607,6672,77
"2000-03-1",11783,2388,6978,60
"2000-04-1",11194,3358,6433,70
"2000-05-1",12088,6284,6605,75
"2000-06-1",11660,7669,6276,66
"2000-07-1",11713,9080,6515,55
"2000-08-1",11290,9455,6174,78
"2000-09-1",10870,10130,6302,74
"2000-10-1",10436,6402,6856,60
"2000-11-1",10161,3099,6783,72
"2000-12-1",10020,3056,7395,48
"2001-01-1",10838,1826,7456,72
"2001-02-1",10355,2251,6589,75
"2001-03-1",11751,2600,7268,52
"2001-04-1",11680,3037,6708,68
"2001-05-1",12344,5634,6761,86
"2001-06-1",11765,8317,6547,73
"2001-07-1",12095,8130,6552,82
"2001-08-1",11946,9450,6606,79
"2001-09-1",11869,9304,6331,60
"2001-10-1",11697,6059,6978,79
"2001-11-1",10676,2993,6619,70
"2001-12-1",10632,2983,7052,53
"2002-01-1",10908,1722,7301,79
"2002-02-1",10059,2396,6538,77
"2002-03-1",11186,2391,7465,69
"2002-04-1",11214,2730,6687,86
"2002-05-1",11653,5287,6762,69
"2002-06-1",11247,8451,6330,68
"2002-07-1",11870,7473,6754,82
"2002-08-1",11945,10628,6547,67
"2002-09-1",11909,8100,6391,62
"2002-10-1",11576,6321,6947,55
"2002-11-1",10910,3249,7114,57
"2002-12-1",10601,2898,7589,59
"2003-01-1",10714,1825,7858,58
"2003-02-1",10103,2417,6765,46
"2003-03-1",11450,2391,7434,47
"2003-04-1",11256,2672,6853,39
"2003-05-1",11982,6224,6791,24
"2003-06-1",11602,7637,6565,8
"2003-07-1",12481,8038,6705,0
"2003-08-1",11990,11083,6598,2
"2003-09-1",12247,8315,6468,2
"2003-10-1",11773,6687,7186,2
"2003-11-1",10995,3390,7075,0
"2003-12-1",11129,2803,8126,0
"2004-01-1",11189,1953,8067,79
"2004-02-1",10737,2638,6959,81
"2004-03-1",11915,2147,7177,86
"2004-04-1",11781,2801,6877,74
"2004-05-1",11902,6042,6655,78
"2004-06-1",11821,7226,6501,66
"2004-07-1",12147,9240,6539,81
"2004-08-1",11992,9870,6518,67
"2004-09-1",12129,7853,6450,67
"2004-10-1",11717,7193,7224,65
"2004-11-1",11223,2736,6849,44
"2004-12-1",11195,2730,7558,52
"2005-01-1",11330,1824,7905,70
"2005-02-1",10300,2222,7281,77
"2005-03-1",12137,2034,8032,90
"2005-04-1",11852,3163,7220,86
"2005-05-1",12166,5268,7175,65
"2005-06-1",12257,7041,6685,73
"2005-07-1",12714,9513,6745,95
"2005-08-1",12471,9469,6756,75
"2005-09-1",12514,8368,6502,76
"2005-10-1",11936,7119,7078,100
"2005-11-1",11050,2751,7031,73
"2005-12-1",11102,2920,7401,75
"2006-01-1",11148,1964,7449,77
"2006-02-1",10426,2448,6732,64
"2006-03-1",11855,2354,7630,87
"2006-04-1",11260,3235,6953,79
